NERs,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01
AirCanada,2.905345557530333e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aireys Inlet,2.5622739393140647e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alan Grant,6.983581587050025e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alan Jones,0.00011781684729888855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alanis,5.810691115039396e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albo,0.00011781684729888853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex,6.983581587050021e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexander,6.983581587050021e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexandria,5.810691115039463e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AlikoDangote,5.810691115039463e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AllTogether,5.810691115039463e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allan,5.810691115039437e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alyssa,8.983303432517092e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am Jericho,5.810691115039438e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon,5.810691115039438e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
America,0.0005928930104585665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
America🇺🇸,0.0006041752844534011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amit Shah,0.0006041752844534011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andr,0.0006391760226535771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrews,5.810691115039357e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AngieNBC6 @NBC6Sports,5.810691115039357e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AnnastaciaMP,5.810691115039357e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anne Curtis,8.93529365626101e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple,2.3242764460301406e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aquadex,9.134271719749477e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aramex,0.00010071864599393595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ArcIncubator,7.747588153381812e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,7.747588153381812e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armadale,6.709608158889505e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arseholes,0.0006013745598384726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aspen,0.0005810691115032528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assange,8.134967561050039e-05,0.00039010982768707337,,,4.536349465629719e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlanta,0.0005641792416564555,0.0004022459516787274,,,,,,,,,,,,,,,,,,,,,,,,,0.0006126596834225615,,,,,,,,
Au,0.0005820367543242644,0.00042939352787158734,,0.00010646441588558272,,,9.859123449276397e-05,,,,,,,,,,,,,,,,,,,,0.00010595838113336513,,,,,,,,
Au @Guardian,0.00010615892186714963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Au Pairs,0.0001342822790153722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aus,0.00034240384769833505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aus Border,0.00039860108309053695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aus Health,0.0003170837108328496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AusBorderForce,0.0003486414669019591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AusIndiMedia,7.747588153381669e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aust,0.00011781684729888737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Australia
Data",0.00011781684729888737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia Govt,0.00020950744761134436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia Post,0.0002662793187464509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia/6h,0.0002662793187464509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AustraliaPM,5.810691115039197e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Broadcasting Corporation,5.810691115039197e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Government,5.810691115039197e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Labor,5.810691115039192e-05,,,,,,,,,,,,,,,,,,,,,,,7.131743180651297e-05,,,,,,,,,,,
Australian National University,5.810691115039192e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia Source,5.810691115039192e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia🦘,7.686821817899344e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BBC,7.686821817899344e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BBC News,2.9053455575297e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BBCOxford,3.486414669030702e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BBCWorld,8.13496756105026e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BCG,0.00013199352907213106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEF,0.00010064412238329163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWS,0.00011621382230068293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bailey Manor,8.839427620709329e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bali,1.936897038364325e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ballarat–Skipton,6.983581587049785e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,7.747588153381663e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barry Jones,7.747588153381663e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Based Poland,6.983581587049785e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BeardSeason2020,5.1245478786037944e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beijing,5.1245478786037944e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,5.032206119170404e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bella Italia,2.9053455575296818e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belmarsh,6.779139634210309e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bette Midler,7.747588153381665e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Betty Whites Son,7.747588153381665e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BiPartisan,7.747588153381665e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bill,6.98358158704979e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bill Gates,1.9368970383643426e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Billy,6.983581587049787e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00012108856316896512,
Bio Security,7.747588153381665e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bloody Grump,7.747588153381662e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bloomington,8.274427774958168e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blunt,8.274427774958168e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bo Jo,8.274427774958168e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BoJo,7.747588153381662e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bob,7.747588153381662e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Border Force,7.747588153381662e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boris,0.00016885476908373107,,,,,,,,,,,0.0022231666103221612,,,,,0.0002129396124377769,,,,,,0.00014101970231688218,,,,,,,,,,,,
Boris Johnson,0.0002711655853681961,,,,,,,,,0.000809680251658722,0.0007268408123958084,0.00216764272095011,0.00027449299644514714,,,8.521205628864974e-05,0.00018779508626161134,,,,,,0.0001339935052880099,,,,,,,,,,,,
Boris Vs Trump,0.0002711655853681961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BorisJohnson,0.0003099035261350774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston,8.851584469518594e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BradHazzard,9.684485191724822e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandis,9.496722913567444e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,1.7751954583316757e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BreakfastNews,1.3558279268698439e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brendan Murphy,2.5622739393133935e-05,,,,,,,,0.0014704358410678776,0.00011523392486748053,,,,,,,,,,,,,,,,,,,,,,,,0.0002016527558984334,
Brett Sutton,7.686821817899356e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bribie Island Research Centre,6.983581587049804e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane,0.0006080252688786534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BrisbaneAirport,0.0006335874138232363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bruce Bradbury,0.0006335874138232363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brussels,0.0006490772884653599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Budgewoi,0.0006490772884653599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buhari,0.004556403623687685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bullrush Park Warnpangga,0.0048422425958603915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bunnings,0.0048422425958603915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bunnings Ashfield,8.231806349783991e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bureau of AU Assembly,8.231806349783991e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buses,5.8106911150382576e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CANADA,5.81069111503822e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBD,5.81069111503822e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCP,0.0007087561226288658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDC,0.0006623763099395507,0.0011198053374247329,,,,,,,,,,,,,,,,,,,0.0003633445279146341,,,0.0019545115996568445,,,,,,,,,,,
CEOWomensSafety,0.0006760270131710999,,0.004700336645232624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFR,0.00019085071249948354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHINA,0.0011045409039958647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHO,0.0011045409039958647,,,,,,,,,,,,,,,,,,,,,,,,0.0008626454706287298,,,,,,,,,,
CIA,0.0010867356068398973,,,,,,,,,,,,,,,,,,,,,,,,0.0008984905918637566,,,,,,,,,,
CNN,7.747588153381071e-05,,,,,,,,,,,,,,,,,,,,,,,,4.900626344728686e-05,,,,,,,,,,
CORONAVIRUS,7.747588153381033e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COVID-19,0.001164073508648518,,,,,,,,,,,,,,,,,,,,,,,0.001231226577924535,,,0.0007838752749678119,,,,,,,,
COVID19,0.0010354503744385468,0.0010333400094023537,,,,,,,,,,,,,,,,,,,,,,0.0011818255515620853,,,0.0006855831912122561,,,,,0.0008942378593889681,,,
CPotterSoprano,0.0010975030170179262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSIRO,0.00027391175800391853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTO,5.775072165722692e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cahill Expressway,6.779139634209936e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cahill Walk,7.747588153381326e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,0.05688874126299464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canberra,0.05684521119554788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canberra Health Services,0.05593651120677967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cane,0.0018174091828747376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carona,0.0018594211568104797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carrie,5.784271900295219e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cats Fan,5.784271900295219e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cellmid,5.8106911153202735e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centrelink,0.00010064412238491501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlotte,0.0001370140757973968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chase,0.00014825805014863401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chatswood,5.810691143780558e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chelsea Gerada,8.716036672740449e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheltenham,7.686821818111717e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chi,5.8106911153201834e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chief Brody,5.8106911153201834e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chigur,7.686821818111716e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,7.686821818111716e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,0.0056163660225993705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ChinaVirus
NSW",0.005335034238379097,0.010726965992840334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China🇨,0.005351921864639236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chinese Center for Disease Control &amp,0.0006053384286051125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chinese Company Sent Millions of Australia,2.5622739399516752e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chinese Nationals,0.0023146527413111144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris,0.0022764102948371603,,,,,,,0.00018724261236233714,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Yate,0.0022916242421547306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christmas Island,7.563824733215931e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Church,7.563824733215931e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Circular Quay,5.1245478789208734e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of #Adelaide,5.810691115318923e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Claire Connelly,5.810691115318923e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinton,5.810691115318923e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clocking Corona,5.810691115318923e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
